Machine Error Code;Error Text;MES error Code
MP3507;SHI Press Type Error;4907
MP3508;SHI Memory Error;4908
MP3509;SHI Common Servo Err;4909
MP3510;SHI Control Box Temperature Err;4910
MP3511;SHI Platen Up Limit Err;4911
MP3512;SHI Platen Low Limit Err;4912
MP3513;SHI Platen PG Err;4913
MP3514;SHI Platen Beyond 5 Ton Range;4914
MP3515;SHI Soft Clamp Err;4915
MP3516;SHI Platen Servo Err;4916
MP3517;SHI Platen Interlock Err;4917
MP3518;SHI Platen Thermal Trip;4918
MP3519;SHI Platen Soft Clamp Sensor Err;4919
MP3520;SHI Transfer Up Limit Err;4920
MP3521;SHI Transfer Low Limit Err;4921
MP3523;SHI Transfer PG Err;4923
MP3524;SHI Transfer Load Cell Err;4924
MP3525;SHI Transfer Force Limit Err;4925
MP3526;SHI Transfer Servo Err;4926
MP3527;SHI Transfer Curing Force Err;4927
MP3528;SHI Transfer Filling Err;4928
MP3529;SHI Transfer VP Switch Err;4929
MP3530;SHI Transfer Pressure Out Of Range;4930
MP3531;SHI Transfer Thermal Trip;4931
MP3600;SHI IO Check Err;5000
MP3601;SHI Soft Limit Err;5001
MP3602;SHI Platen IO Err;5002
MP3603;SHI Transfer IO Err;5003
MP3604;SHI Read Strobe Err;5004
MP3605;SHI Platen Motion Timeout;5005
MP3606;SHI Transfer Motion Timeout;5006
MP3607;SHI Lock Timeout;5007
MP3608;SHI All Data Match;5008
MP3609;SHI Comm Err;5009
MP3610;SHI Error;5010
MP3611;SHI IO Check Pass;5011
MP3612;SHI Motor not OFF;5012
MP3613;SHI Motor not ON;5013
MP3614;SHI not Acknowledge;5014
MP3615;SHI Platen Command not Read;5015
MP3616;SHI Transfer Command not Read;5016
MP4001;Press 4 Left Wedge move to HOME position failed;5401
MP4002;Press 4 Left Wedge move to STANDBY position failed;5402
MP4003;Press 4 Left Wedge move to START position failed;5403
MP4004;Press 4 Left Wedge move to FILLING position failed;5404
MP4005;Press 4 Left Wedge move to PACKING position failed;5405
MP4006;Press 4 Left Wedge move to DECOMPRESS position failed;5406
MP4007;Press 4 Right Wedge move to HOME position failed;5407
MP4008;Press 4 Right Wedge move to STANDBY position failed;5408
MP4009;Press 4 Right Wedge move to START position failed;5409
MP4010;Press 4 Right Wedge move to FILLING position failed;5410
MP4011;Press 4 Right Wedge move to PACKING position failed;5411
MP4012;Press 4 Right Wedge move to DECOMPRESS position failed;5412
MP4013;Press 4 Top Wedge move to HOME position failed;5413
MP4014;Press 4 Top Wedge move to STANDBY position failed;5414
MP4015;Press 4 Top Wedge move to START position failed;5415
MP4016;Press 4 Top Wedge move to FILLING position failed;5416
MP4017;Press 4 Top Wedge move to PACKING position failed;5417
MP4018;Press 4 Top Wedge move to DECOMPRESS position failed;5418
MP4019;Press 4 Reset Safety move to OFF position failed;5419
MP4020;Press 4 Reset Safety move to ON position failed;5420
MP4021;Press 4 Offline Door move to OPEN position failed;5421
MP4022;Press 4 Offline Door move to CLOSE position failed;5422
MP4023;Press 4 Substrate Vacuum move to OFF position failed;5423
MP4024;Press 4 Substrate Vacuum move to ON position failed;5424
MP4025;Press 4 Substrate Air move to OFF position failed;5425
MP4026;Press 4 Substrate Air move to ON position failed;5426
MP4027;Press 4 Mold Avoid Void move to OFF position failed;5427
MP4028;Press 4 Mold Avoid Void move to ON position failed;5428
MP4029;Press 4 Mold Avoid Void Air move to OFF position failed;5429
MP4030;Press 4 Mold Avoid Void Air move to ON position failed;5430
MP4031;Press 4 Mold Chase Alignment Done!;5431
MP4032;Press 4 Platen Enc Calibration Done!;5432
MP4033;Press 4 Platen Enc Calibration Fail!;5433
MP4034;Press 4 Transfer Enc Calibration Done!;5434
MP4035;Press 4 Transfer Enc Calibration Fail!;5435
MP4036;Press 4 Film Outer Vacuum move to ON position failed;5436
MP4037;Press 4 Top Cylinder move to UP position failed;5437
MP4038;Press 4 Top Cylinder move to DOWN position failed;5438
MP4039;Press 4 Top Gripper move to CLOSE position failed;5439
MP4040;Press 4 Top Gripper move to OPEN position failed;5440
MP4041;Press 4 Cylinder Wedge move to OUT position failed;5441
MP4042;Press 4 Cylinder Wedge move to IN position failed;5442
MP4043;Press 4 Chase Pump 1 move to OFF position failed;5443
MP4044;Press 4 Chase Pump 1 move to ON position failed;5444
MP4045;Press 4 Chase Pump 2 move to OFF position failed;5445
MP4046;Press 4 Chase Pump 2 move to ON position failed;5446
MP4047;Press 4 Detected Incomplete Fill Signal from degate. Going offline!;5447
MP4048;Press 4 Detected Avoid Void Air Purge is On!;5448
MP4049;Press 4 Detected Substrate Air Purge is On!;5449
MP4050;Press 4 Detected Platen not at Safe Pos to On Air Blow!;5450
MP4051;Press 4 Hepa Filter move to OFF position failed;5451
MP4052;Press 4 Hepa Filter move to ON position failed;5452
MP4053;Press 4 Press Start Cure move to OFF position failed;5453
MP4054;Press 4 Press Start Cure move to ON position failed;5454
MP4055;Press 4 Left Wedge COMMUTATE failed;5455
MP4056;Press 4 Right Wedge COMMUTATE failed;5456
MP4057;Press 4 Top Wedge COMMUTATE failed;5457
MP4058;Press 4 Offline Door NOT SAFE to move to CLOSE position;5458
MP4059;Press 4 Press Platen NOT SAFE to move to CLOSE position;5459
MP4060;Press 4 Safety Screen RESET failed;5460
MP4061;Press 4 Servo Power POWER ON failed;5461
MP4062;Press 4 Servo Power POWER OFF failed;5462
MP4063;Press 4 Transfer has NOT INITIALIZE;5463
MP4064;Press 4 Platen has NOT INITIALIZE;5464
MP4065;Press 4 Platen ABORT motion failed;5465
MP4066;Press 4 Platen CALIBRATED ENCODER failed;5466
MP4067;Press 4 Platen move UP to PPD position failed;5467
MP4068;Press 4 Platen move UP to CFS position failed;5468
MP4069;Press 4 Platen move to STANDBY position failed;5469
MP4070;Press 4 Platen move UP to FAST HIGH CLAMP position failed;5470
MP4071;Press 4 Platen move DOWN to EJECT position failed;5471
MP4072;Press 4 Platen move UP to STANDY position failed;5472
MP4073;Press 4 Platen STOP motion failed;5473
MP4074;Press 4 Platen move to JOG UP position failed;5474
MP4075;Press 4 Platen move to JOG DOWN position failed;5475
MP4076;Press 4 Platen move to RELATIVE UP position failed;5476
MP4077;Press 4 Platen move to RELATIVE DOWN position failed;5477
MP4078;Press 4 Platen move UP to SHEET CLAMP position failed;5478
MP4079;Press 4 Platen Soft Clamp Error;5479
MP4080;Press 4 Platen move UP to HIGH CLAMP ONLY position failed;5480
MP4081;Press 4 Platen move UP to FULL CLAMP position failed;5481
MP4082;Press 4 Platen move DOWN to GAP position failed;5482
MP4083;Press 4 Platen move UP to PAPER HIGH CLAMP position failed;5483
MP4084;Press 4 Platen move UP to CFS KISS position failed;5484
MP4085;Press 4 Platen move UP to CFS HIGH CLAMP position failed;5485
MP4086;Press 4 Platen move DOWN to EJECT LF PP4 position failed;5486
MP4087;Press 4 Platen move DOWN to EJECT LF PP5 position failed;5487
MP4088;Press 4 Platen move DOWN to SMOOTH PP8 position failed;5488
MP4089;Press 4 Platen move DOWN to FAST PP8 position failed;5489
MP4090;Press 4 Platen move UP to PP9 position failed;5490
MP4091;Press 4 Platen move UP to PP10 W/O INTERLOCK position failed;5491
MP4092;Press 4 Platen move UP to KISS position failed;5492
MP4093;Press 4 Platen move DOWN to FAST EJECT position failed;5493
MP4094;Press 4 Platen NOT at KISS position;5494
MP4095;Press 4 Platen NOT at EJECT position;5495
MP4096;Press 4 Platen NOT at STANDBY position;5496
MP4097;Press 4 Platen IS CLOSED;5497
MP4098;Press 4 Platen has NOT DONE CFS;5498
MP4099;Press 4 Platen move UP to Gap position failed;5499
MP4100;Press 4 Transfer ABORT motion failed;5500
MP4101;Press 4 Transfer CALIBRATED ENCODER failed;5501
MP4102;Press 4 Transfer move to STANDBY position failed;5502
MP4103;Press 4 Transfer move UP to FILL CURE position failed;5503
MP4104;Press 4 Transfer move DOWN to PD position failed;5504
MP4105;Press 4 Transfer move UP to EJECT position failed;5505
MP4106;Press 4 Transfer move to PC1 position failed;5506
MP4107;Press 4 Transfer move to PC2 position failed;5507
MP4108;Press 4 Transfer move DOWN to STANDBY position failed;5508
MP4109;Press 4 Transfer STOP motion failed;5509
MP4110;Press 4 Transfer move to JOG UP position failed;5510
MP4111;Press 4 Transfer move to JOG DOWN position failed;5511
MP4112;Press 4 Transfer move UP to SHORT SHOT position failed;5512
MP4113;Press 4 Transfer move UP to FILL CURE CLEANING position failed;5513
MP4114;Press 4 Transfer move to RELATIVE UP position failed;5514
MP4115;Press 4 Transfer move to RELATIVE DOWN position failed;5515
MP4116;Press 4 Transfer move to PLUNGER BLK CHANGE PM1 position failed;5516
MP4117;Press 4 Transfer move to MOLD FLUSH PM2 position failed;5517
MP4118;Press 4 Transfer move to PLUNGER CHANGE PM3 position failed;5518
MP4119;Press 4 Transfer move to STANDBY CLEANING position failed;5519
MP4120;Press 4 Transfer NOT at STANDBY position;5520
MP4121;Press 4 Servo Power Not On;5521
MP4122;Press 4 Error;5522
MP4123;Press 4 Detected NL Y Not Home;5523
MP4124;Press 4 Detected FL Y Not Home;5524
MP4125;Press 4 Detected PGS Grippers Abnormal;5525
MP4126;Press 4 Detected Top Ejector Not Up;5526
MP4127;Press 4 Detected Middle Plate Not Up;5527
MP4128;Press 4 Detected Temperature Not Ready;5528
MP4129;Press 4 Detected PGS Grippers Jammed;5529
MP4130;Press 4 Detected Misalign Sensor On;5530
MP4131;Press 4 Film Out Air Jet Off Fail;5531
MP4132;Press 4 Film Out Air Jet On Fail;5532
MP4133;Press 4 Ionizer Off Fail;5533
MP4134;Press 4 Ionizer On Fail;5534
MP4135;Press 4 Top Wedged Fail To Move To Film Suction Position;5535
MP4140;Press 4 Wedge In Error;5540
MP4141;Press 4 Wedge Move To FL Pick Mat Error;5541
MP4142;Press 4 Wedge 2 In Error;5542
MP4143;Press 4 Wedge 2 Move To FL Pick Mat Error;5543
MP4144;Press 4 Wedge Move Error - Detect MidPlate Down;5544
MP4145;Press 4 Wedge 2 Move Error - Detect MidPlate Down;5545
MP4150;Press 4 Clamp Force Setting is required;5550
MP4151;Press 4 detected Temperature Out of Tolerance;5551
MP4152;Press 4 detected Temperature Controller failed;5552
MP4153;Press 4 Detected Safety Screen Triggered;5553
MP4154;Press 4 Top Wedge Force Not Enough;5554
MP4155;Press 4 ThermoSwitch Triggered!;5555
MP4156;Press 4 Bottom Mold Temperature Over Heat;5556
MP4157;Press 4 Top Wedge Relative move Fail;5557
MP4158;Press 4 Mid plate position Unknown;5558
MP4159;Press 4 Mid plate NOT at Down position;5559
MP4160;Press 4 PL Not at safe position to Open/Close;5560
MP4161;Press 4 PL Wrong Mold Open Sequence;5561
MP4162;Press 4 Move To PP12 Position Fail;5562
MP4163;Press 4 Move To Mid-Clamp Position Fail;5563
MP4164;Press 4 Detected  Unknown LF Status;5564
MP4165;Press 4 Detected LF UnMolded;5565
MP4166;Press 4 HMI Message Reply Unknown;5566
MP4167;Press 4 wait Pellet Cure;5567
MP4168;Press 4 Filling Error;5568
MP4169;Press 4 Curing Error;5569
MP4170;Press 4 Goes Offline after Mold Fail;5570
MP4171;Press 4 Detected Filling out of Range;5571
MP4172;Press 4 Detected Filling Pressure out of Range;5572
MP4173;Press 4 Detected OnLine Init Fail;5573
MP4174;Press 4 Detected OnLine Pre-Start Fail;5574
MP4175;Press 4 Detected Press Door Close Fail;5575
MP4176;Detected PGS Gripper not Open;5576
MP4177;Ejector Not Safe to Move Down! Mid Plate not at Down;5577
MP4178;Detected Gripper Air Pressure Low;5578
MP4179;Press 4 is required to do Full Clean (Auto);5579
MP4180;Press 4 is required to do  Fast Clean (Auto);5580
MP4181;Press 4 is required to do  Partial Clean (Auto);5581
MP4182;Press 4 is required to do Full Clean (Idle);5582
MP4183;Press 4 is required to do Fast Clean (Idle);5583
MP4184;Press 4 is required to do  Partial Clean (Idle);5584
MP4185;Detected Loader Present at Mold;5585
MP4186;Press 4 Mold Ext Count off fail;5586
MP4187;Press 4 Mold Ext Count on fail;5587
MP4188;Press 4 Update LF Processed Failed;5588
MP4189;Press 4 Detected LF Stick on Top Mold;5589
MP4191;Please Verify Units Status on Press 4;5591
MP4192;Press 4 Compound Expiry (To Mold Clamp);5592
MP4193;Press 4 Top Surface Thermocouple Out Of Tolerance;5593
MP4194;Press 4 Mid Plate Surface Thermocouple Out Of Tolerance;5594
MP4195;Press 4 Btm Surface Thermocouple Out Of Tolerance;5595
MP4196;Press 4 Voltage Dip;5596
MP4197;Press 4 Btm Retract Pin Error;5597
MP4198;Press 4 Top Retract Pin Error;5598
MP4199;Press 4 Heaters not Turn on!;5599
MP4200;Press 4 Bottom FAM Roller Not at DOWN Position;5600
MP4201;Press 4 Substrate Vacuum Choke!;5601
MP4202;Press 4 Avoid Void Vacuum Choke!;5602
MP4203;Press 4 Ebara Pump Off fail!;5603
MP4204;Press 4 Ebara Pump On fail!;5604
MP4205;Press 4 Reset Ebara Pump Off fail!;5605
MP4206;Press 4 Reset Ebara Pump On fail!;5606
MP4207;Press 4 Ebara Pump Error!;5607
MP4208;Press 4 Avoid Void Vacuum Upper Limit!;5608
MP4209;Press 4 Substrate Vacuum Buffer Off failed;5609
MP4210;Press 4 Substrate Vacuum Buffer On failed;5610
MP4211;Press 4 Inner Substrate Vacuum Off failed;5611
MP4212;Press 4 Inner Substrate Vacuum On failed;5612
MP4213;Press 4 Ebara Valve Turn Off Fail!;5613
MP4214;Press 4 Ebara Valve Turn On Fail!;5614
MP4215;Press 4 Receive Offline command from Linescanner/Vision;5615
MP4216;Press 4 Wedge Search Force Fail!;5616
MP4217;Press 4 Wedge 1 Search Force Fail!;5617
MP4218;Press 4 Wedge 2 Search Force Fail!;5618
MP4219;Press 4 Load Cell 1 Off Fail;5619
MP4220;Press 4 Load Cell 1 On Fail;5620
MP4221;Press 4 Load Cell 2 Off Fail;5621
MP4222;Press 4 Load Cell 2 On Fail;5622
MP4223;Press 4 Top Mold Temperature SPC out of Control Limit!;5623
MP4224;Press 4 Top Mold Temperature SPC out of Spec Limit!;5624
MP4225;Press 4 Bottom Mold Temperature SPC out of Control Limit!;5625
MP4226;Press 4 Bottom Mold Temperature SPC out of Spec Limit!;5626
MP4227;Press 4 Clamp Force SPC out of Control Limit!;5627
MP4228;Press 4 Clamp Force SPC out of Spec Limit!;5628
MP4229;Press 4 Packing Pressure SPC out of Control Limit!;5629
MP4230;Press 4 Packing Pressure SPC out of Spec Limit!;5630
MP4231;Press 4 Transfer Time SPC out of Control Limit!;5631
MP4232;Press 4 Transfer Time SPC out of Spec Limit!;5632
MP4240;Press 4 Detected Platen Pulse below safe zone! Please Send middle plate to Top;5640
MP4241;Press 4 Detected Middle Plate Pos Status Not Match with Sensor!;5641
MP4265;Press 4 - MidClamp wait time longer than filling time;5665
MP4266;Press 4 - Detected cull remain;5666
MP4267;Press 4 - Detected abnormal delay before highclamp;5667
MP4268;Press 4 - Please Remove LF on Press 4!;5668
MP4273;Press 4 - Full Mold Cleaning PreAlert!;5673
MP4274;Press 4 - Partial Mold Cleaning PreAlert!;5674
MP4275;Press 4 - Fast Mold Cleaning PreAlert!;5675
MP4276;External UPS Triggered! Press 4 Goes Offline!;5676
MP4279;3GEye detected Press4 Clamp Force has abnormal downtrend signal;5679
MP4280;3GEye detected Press4 Filling Time has abnormal downtrend signal;5680
MP4281;3GEye detected Press4 Packing Pressure has abnormal downtrend signal;5681
MP4282;3GEye detected Press4 Top Ejector has abnormal downtrend signal;5682
MP4283;3GEye detected Press4 Top Temperature has abnormal downtrend signal;5683
MP4284;3GEye detected Press4 Bottom Temperature has abnormal downtrend signal;5684
MP4286;Press4 detected small door not close;5686
MP4300;Press4 enable Motor Contactor Failed!;5700
MP4301;Press4 enable Motor Driver Failed!;5701
MP4302;Press4 detected Platen Low Battery;5702
MP4303;Press4 detected Transfer Low Battery;5703
MP4318;Press4 detected abnormal exhoust flow 1 ;5718
MP4319;Press4 detected abnormal exhoust flow 2;5719
MP4320;Press4 detected pressure out of scope;5720
MP4321;Press4 detected position out of scope;5721
MP4322;Press4 detected avoidvoid vacuum out of scope;5722
MP4323;Press4 detected avoidvoid vacuum 1 and 2 is different;5723
MP4326;Press4 detected Reject Tray not present;5726
MP4327;Press4 detected Reject Tray Full;5727
MP4328;Press4 detected R Pin Home failed;5728
MP4329;Press4 detected R Pin Up failed;5729
MP4330;Press4 detected R Pin Down failed;5730
MP4331;Press4 detected pre-warning pressure out of scope ;5731
MP4332;Press4 detected pre-warning position out of scope;5732
MP4333;Press4 detected pre-warning avoidvoid vacuum out of scope;5733
MP4334;Press1 detected avoidvoid vacuum 1 or vacuum 2 is abnormal;5734
MP4500;SHI Emergency Error;5900
MP4501;SHI Data Setting Err;5901
MP4502;SHI Serial Com Err;5902
MP4503;SHI Self Check Err;5903
MP4504;Invalid Platen Command;5904
MP4505;Invalid Transfer Command;5905
MP4506;SHI Controller Fan Stop;5906
MP4507;SHI Press Type Error;5907
MP4508;SHI Memory Error;5908
MP4509;SHI Common Servo Err;5909
MP4510;SHI Control Box Temperature Err;5910
MP4511;SHI Platen Up Limit Err;5911
MP4512;SHI Platen Low Limit Err;5912
MP4513;SHI Platen PG Err;5913
MP4514;SHI Platen Beyond 5 Ton Range;5914
MP4515;SHI Soft Clamp Err;5915
MP4516;SHI Platen Servo Err;5916
MP4517;SHI Platen Interlock Err;5917
MP4518;SHI Platen Thermal Trip;5918
MP4519;SHI Platen Soft Clamp Sensor Err;5919
MP4520;SHI Transfer Up Limit Err;5920
MP4521;SHI Transfer Low Limit Err;5921
MP4523;SHI Transfer PG Err;5923
MP4524;SHI Transfer Load Cell Err;5924
MP4525;SHI Transfer Force Limit Err;5925
MP4526;SHI Transfer Servo Err;5926
MP4527;SHI Transfer Curing Force Err;5927
MP4528;SHI Transfer Filling Err;5928
MP4529;SHI Transfer VP Switch Err;5929
MP4530;SHI Transfer Pressure Out Of Range;5930
MP4531;SHI Transfer Thermal Trip;5931
MP4600;SHI IO Check Err;6000
MP4601;SHI Soft Limit Err;6001
MP4602;SHI Platen IO Err;6002
MP4603;SHI Transfer IO Err;6003
MP4604;SHI Read Strobe Err;6004
MP4605;SHI Platen Motion Timeout;6005
MP4606;SHI Transfer Motion Timeout;6006
MP4607;SHI Lock Timeout;6007
MP4608;SHI All Data Match;6008
MP4609;SHI Comm Err;6009
MP4610;SHI Error;6010
MP4611;SHI IO Check Pass;6011
MP4612;SHI Motor not OFF;6012
MP4613;SHI Motor not ON;6013
MP4614;SHI not Acknowledge;6014
MP4615;SHI Platen Command not Read;6015
MP4616;SHI Transfer Command not Read;6016
OFL001;OffLoader X move to HOME position failed;6801
OFL002;OffLoader X move to DEGATE position failed;6802
OFL003;OffLoader X move to PRESS 1 position failed;6803
OFL004;OffLoader X move to PRESS 2 position failed;6804
OFL005;OffLoader X move to PRESS 3 position failed;6805
OFL006;OffLoader X move to PRESS 4 position failed;6806
OFL007;OffLoader X move to Prp Load position failed;6807
OFL008;OffLoader Y move Home position failed;6808
OFL009;OffLoader Y move to Backward position failed;6809
OFL010;OffLoader Y move Forward to Press 1 failed;6810
OFL011;OffLoader Y move Forward to Press 2 failed;6811
OFL012;OffLoader Y move Forward to Press 3 failed;6812
OFL013;OffLoader Y move Forward to Press 4 failed;6813
OFL014;OffLoader Y Mold Clean Start position failed;6814
OFL015;OffLoader Y Mold Clean End position failed;6815
OFL016;OffLoader Y move to Degate position failed;6816
OFL017;OffLoader Y move to Press 1 CULL PUSH START position failed;6817
OFL018;OffLoader Y move to Press 1 CULL PUSH END position failed;6818
OFL019;OffLoader Y move to Press 2 CULL PUSH START position failed;6819
OFL020;OffLoader Y move to Press 2 CULL PUSH END position failed;6820
OFL021;OffLoader Y move to Press 3 CULL PUSH START position failed;6821
OFL022;OffLoader Y move to Press 3 CULL PUSH END position failed;6822
OFL023;OffLoader Y move to Press 4 CULL PUSH START position failed;6823
OFL024;OffLoader Y move to Press 4 CULL PUSH END position failed;6824
OFL025;OffLoader Y move to prp load position fail;6825
OFL026;OffLoader Z move to Home position failed;6826
OFL027;OffLoader Z move to Up position failed ;6827
OFL028;OffLoader Z move to Down position failed;6828
OFL029;OffLoader Gripper move to Close position failed;6829
OFL030;OffLoader Gripper move to Open position failed;6830
OFL031;OffLoader Mold Clean Motor move to OFF position failed;6831
OFL032;OffLoader Mold Clean Motor move to ON position failed;6832
OFL033;OffLoader Top Brush move to IN position failed;6833
OFL034;OffLoader Top Brush move to OUT position failed;6834
OFL035;OffLoader Bottom Brush move to IN position failed;6835
OFL036;OffLoader Bottom Brush move to OUT position failed;6836
OFL037;OffLoader Cull Plate move to UP position failed;6837
OFL038;OffLoader Cull Plate move to DOWN position failed;6838
OFL039;OffLoader Vacuum move to OFF position failed;6839
OFL040;OffLoader Vacuum move to ON position failed;6840
OFL041;OffLoader Cull Vacuum move to OFF position failed;6841
OFL042;OffLoader Cull Vacuum move to ON position failed;6842
OFL043;OffLoader Air jet move to OFF position failed;6843
OFL044;OffLoader Air jet move to ON position failed;6844
OFL045;OffLoader Vacuum pump move to OFF position failed;6845
OFL046;OffLoader Vacuum pump move to ON position failed;6846
OFL047;OffLoader X acquiring Invalid Position LOCK;6847
OFL048;OffLoader detected X move to Press position not safe;6848
OFL049;OffLoader detected Press 1 not at Standby or safe position;6849
OFL050;OffLoader detected Press 2 not at Standby or safe position;6850
OFL051;OffLoader detected Press 3 not at Standby or safe position;6851
OFL052;OffLoader detected Press 4 not at Standby or safe position;6852
OFL053;OffLoader detected Press 1 door not open;6853
OFL054;OffLoader detected Press 2 door not open;6854
OFL055;OffLoader detected Press 3 door not open;6855
OFL056;OffLoader detected Press 4 door not open;6856
OFL057;OffLoader detected X move to Degate postion not safe;6857
OFL058;OffLoader detected Z not at UP position;6858
OFL059;OffLoader detected Y not at BACKWARD position;6859
OFL060;OffLoader detected Mold Clean not at IN position;6860
OFL061;OffLoader detected Cull Pate not at DOWN position;6861
OFL062;OffLoader detected X not at Press position;6862
OFL063;OffLoader detected X not at Press 1 position;6863
OFL064;OffLoader detected X not at Press 2 position;6864
OFL065;OffLoader detected X not at Press 3 position;6865
OFL066;OffLoader detected X not at Press 4 position;6866
OFL067;OffLoader detected X not at Degate position;6867
OFL068;OffLoader detected X at wrong Press position;6868
OFL069;OffLoader detected missing LF after Pick;6869
OFL070;OffLoader detected LF on Gripper after Place;6870
OFL071;OffLoader detected Press 1 not at STANDBY position;6871
OFL072;OffLoader detected Press 2 not at STANDBY position;6872
OFL073;OffLoader detected Press 3 not at STANDBY position;6873
OFL074;OffLoader detected Press 4 not at STANDBY position;6874
OFL075;OffLoader detected Press not installed ;6875
OFL076;OffLoader detected unknown LF;6876
OFL077;OffLoader detected partial LF;6877
OFL078;OffLoader detected OnLoader X not at HOME position;6878
OFL079;OffLoader detected Degate not at HOME position;6879
OFL080;OffLoader Y move to LF CLEAN START position failed;6880
OFL081;OffLoader Y move to LF CLEAN END position failed;6881
OFL082;OffLoader detected X interlock sensor triggered (Hit Onloader);6882
OFL083;OffLoader detected Mold Clean not at OUT position;6883
OFL084;OffLoader detected X axis limit error;6884
OFL085;OffLoader detected T axis limit error;6885
OFL086;OffLoader detected not in PRP LOAD position;6886
OFL087;OffLoader detected Top Brush not at IN position;6887
OFL088;OffLoader detected Bottom Brush not at IN position;6888
OFL089;OffLoader PRP release done;6889
OFL090;OffLoader PRP load done;6890
OFL091;OffLoader detected Incorrect PRP Load position;6891
OFL092;OffLoader Cull Vacuum at Press 1 turn ON failed;6892
OFL093;OffLoader Cull Vacuum at Press 2 turn ON failed;6893
OFL094;OffLoader Cull Vacuum at Press 3 turn ON failed;6894
OFL095;OffLoader Cull Vacuum at Press 4 turn ON failed;6895
OFL096;OffLoader move to Degate START CLEAN position failed;6896
OFL097;OffLoader move to Degate END CLEAN position failed;6897
OFL098;OffLoader setup Datalog failed;6898
OFL099;OffLoader enable Datalog failed;6899
OFL100;OffLoader disable Datalog failed;6900
OFL101;OffLoader close Datalog failed;6901
OFL102;OffLoader get Datalog Data failed;6902
OFL103;OffLoader detected Cull remains;6903
OFL104;OffLoader detected Cull drop;6904
OFL105;OffLoader Y move to CULL DETECT position failed;6905
OFL106;OffLoader detected Cull Scanning velocity too Slow;6906
OFL107;OffLoader detected Loader Present sensor at Press 1 Malfunction;6907
OFL108;OffLoader detected Loader Present sensor at Press 2 Malfunction;6908
OFL109;OffLoader detected Loader Present sensor at Press 3 Malfunction;6909
OFL110;OffLoader detected Loader Present sensor at Press 4 Malfunction;6910
OFL111;OffLoader detected Press 1 Safety Screen triggered;6911
OFL112;OffLoader detected Press 2 Safety Screen triggered;6912
OFL113;OffLoader detected Press 3 Safety Screen triggered;6913
OFL114;OffLoader detected Press 4 Safety Screen triggered;6914
OFL115;OffLoader detected Press 1 is Offline;6915
OFL116;OffLoader detected Press 2 is Offline;6916
OFL117;OffLoader detected Press 3 is Offline;6917
OFL118;OffLoader detected Press 4 is Offline;6918
OFL119;OffLoader detected Out Pick Arm at not safe position;6919
OFL120;OffLoader detected LF Present at Degate;6920
OFL121;OffLoader System Vacuum move to OFF position failed;6921
OFL122;OffLoader System Vacuum move to ON position failed;6922
OFL123;OffLoader Press Plate move to UP position failed;6923
OFL124;OffLoader Press Plate move to DOWN position failed;6924
OFL125;OffLoader detected LF wrong status;6925
OFL126;OffLoader detected LF wrong status in Press 1;6926
OFL127;OffLoader detected LF wrong status in Press 2;6927
OFL128;OffLoader detected LF wrong status in Press 3;6928
OFL129;OffLoader detected LF wrong status in Press 4;6929
OFL130;OffLoader detected Cull Runner missing;6930
OFL131;OffLoader detected Mold Clean Vacuum too low;6931
OFL132;OffLoader detected Mold Clean Vacuum too high;6932
OFL133;OffLoader X move to CULL SWEEP START position failed;6933
OFL134;OffLoader X move to CULL SWEEP END position failed;6934
OFL135;OffLoader detected Cull Bin not present;6935
OFL136;OffLoader detected Cull Bin full;6936
OFL137;OffLoader detected Bottom FAM 1 Roller not at DOWN position;6937
OFL138;OffLoader detected Bottom FAM 2 Roller not at DOWN position;6938
OFL139;OffLoader detected Bottom FAM 3 Roller not at DOWN position;6939
OFL140;OffLoader detected Bottom FAM 4 Roller not at DOWN position;6940
OFL141;OffLoader System Main Ebara Pump turn OFF failed;6941
OFL142;OffLoader System Main Ebara Pump turn ON failed;6942
OFL143;OffLoader Reset Main Ebara Pump turn OFF failed;6943
OFL144;OffLoader Reset Main Ebara Pump turn ON failed;6944
OFL145;OffLoader detected System Main Ebara Pump Error;6945
OFL146;OffLoader detected Cull Remain at Press 1;6946
OFL147;OffLoader detected Cull Remain at Press 2;6947
OFL148;OffLoader detected Cull Remain at Press 3;6948
OFL149;OffLoader detected Cull Remain at Press 4;6949
OFL150;OffLoader detected Cull Drop at Press 1;6950
OFL151;OffLoader detected Cull Drop at Press 2;6951
OFL152;OffLoader detected Cull Drop at Press 3;6952
OFL153;OffLoader detected Cull Drop at Press 4;6953
OFL154;OffLoaderdetected Top FAM 1 Roller not at UP position;6954
OFL155;OffLoader detected Top FAM 2 Roller not at UP position;6955
OFL156;OffLoader detected Top FAM 3 Roller not at UP position;6956
OFL157;OffLoader detected Top FAM 4 Roller not at UP position;6957
OFL158;OffLoader detected Output Pick Arm not at Safe Position!;6958
OFL159;OffLoader detected Top Brush wear off;6959
OFL160;OffLoader detected Bottom Brush wear off;6960
OFL161;OffLoader detected LF exceed holding time limit;6961
OFL162;OffLoader detected PRP Loading Stations not at DOWN position;6962
OFL163;OffLoader detected LoaderX not at CULL SWEEP START position ;6963
OFL164;OffLoader Cull Sweep Brush move to UP position failed;6964
OFL165;OffLoader Cull Sweep Brush move to DOWN position failed;6965
OFL166;OffLoader Top Motorize Brush move failed;6966
OFL167;OffLoader Bottom Motorize Brush move failed;6967
